gene_id,gene_symbol,C_P1,C_P2,C_P3,C_V1,C_V2,C_V3
30836,DNTTIP2,1827.43,1798.96,1813.07,1714.17,1666.52,1776.64
84888,SPPL2A,2374,2435,2401.01,2412,2416,2378
8209,GATD3A,509.57,595.51,498.76,526.75,491.07,557.53
132864,CPEB2,195,190,184,182,164,161
23167,EFR3A,1392,1305,1402,1369,1309,1351
257044,CATSPERE,0,3,1,1,2,0
83930,STARD3NL,469,474,490,478,488,500
60386,SLC25A19,577,606,625,603,614,595
79568,MAIP1,495,437,463,466,451,480
57379,AICDA,1,0,0,0,0,0
285315,C3orf33,486,440,401,428,426,448
9741,LAPTM4A,2687,2715,2624,2629,2653,2752
2187,FANCB,179,194,175,172,188,173
150677,OTOS,1,0,1,0,0,0
139322,APOOL,1028,1052,1048.99,999,1000,1069
146664,MGAT5B,2,2,2,2,3,4
7756,ZNF207,5478,5470,5443,5149,5430,5448
55698,RADIL,1,0,0,0,0,0
84690,SPATA22,0,1,2,0,0,1
10491,CRTAP,2579,2545,2379,2402,2465,2453
8277,TKTL1,0,0,2,1,0,0
58515,SELENOK,1032,1014,1022,983,1002,1006
2550,GABBR1,152,133,137,138,177,188
26017,FAM32A,948,877,919,849,910,893
51177,PLEKHO1,22,22,13,19,29,26
2262,GPC5,0,1,0,1,0,1
6794,STK11,982,1007,901,998,1062,1002
23341,DNAJC16,540,523,532,500,513,539
58528,RRAGD,286,300,287,309,302,259
158747,MOSPD2,473,428,444,452,442,452
163486,DENND1B,2396,2318,2286,2531,2561,2670
801,CALM1,7997,7847,8153,7902,7891,8108
56963,RGMA,32.45,26.32,24.74,32.16,23.1,32.01
9899,SV2B,1,0,0,1,3,1
100506084,ARL17B,31.61,27.25,41.46,25.3,20.62,40.74
6895,TARBP2,324,337,315,312,315,339
27350,APOBEC3C,4.82,1,1,1,2,1
25900,IFFO1,1,3,1,3,2,2
7352,UCP3,27,26,26,22,23,26
374955,SPATA21,0,0,1.98,0,0,0
23336,SYNM,630,652,663,547,601,586
56052,ALG1,1097.64,1044.21,1059.58,1066.94,1038.91,1048.99
117247,SLC16A10,207,203,220,186,196,189
22873,DZIP1,22,20,31,24,23,23
3339,HSPG2,184,219,210,199,221.34,230.29
